"#",In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Segment_1,selectable,Segment,pronoun,ppron,i,we,you,shehe,they,ipron,cogproc,insight,cause,discrep,tentat,certitude,differ,time,focuspast,focuspresent,focusfuture
1,00:00:01:10,00:00:05:25,00:00:04:15,Teacher,English,"Wrap the sheet of paper you got, from [crosstalk]",,,a,,1,11.11,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,00:00:06:27,00:00:12:21,00:00:05:54,Student 2,English,Grab this and... Okay. Is the...,,,a,,1,16.67,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,0
3,00:00:12:23,00:00:12:43,00:00:00:20,Student 3,English,Are these different?,,,a,,1,33.33,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,33.33,0,0,33.33,0
4,00:00:12:45,00:00:17:39,00:00:04:54,Teacher,English,And can we write our name over where it says activity one.,,,a,,1,25,16.67,0,16.67,0,0,0,8.33,8.33,0,0,8.33,0,0,0,0,0,16.67,0
5,00:00:18:33,00:00:28:57,00:00:10:24,Student 2,English,"There, right there. Alright, after write the number of units squares, you'll take the cover [unintelligible]'s circle shown below. Include your own estimate...",,,a,,1,8.33,8.33,0,0,8.33,0,0,0,4.17,0,0,0,4.17,0,0,4.17,0,0,4.17
6,00:00:28:59,00:01:33:49,00:01:04:50,Teacher,English,"Thank you. So, your name is over where it says activity one, please. Raise your hand if you still not received one. There, great. So, read the instructions to yourselves, silently, for activity one. Activity one. So, you look for the side that says activity one. And give me a thumbs up once you've got that. [unintelligible], we're ready. [unintelligible]'s ready. [unintelligible], are you finished reading it? Activity one. [unintelligible] Okay, [Jackie], could you read it out loud for everybody, now that we've all had a chance to look at it ourselves?",,,a,,1,22.58,13.98,1.08,3.23,9.68,0,0,8.6,4.3,0,0,1.08,2.15,0,2.15,5.38,4.3,7.53,0
7,00:01:34:53,00:01:54:03,00:00:19:10,Student 1,English,"Estimate the number of unit squares it would take to cover [unintelligible]'s circle. Show the number. Record your own estimate and strategy. Then, find a person who got a different estimate, or used a different strategy, and report where [unintelligible].",,,a,,1,7.32,4.88,0,0,2.44,0,0,2.44,21.95,2.44,2.44,2.44,9.76,0,7.32,2.44,2.44,0,0
8,00:01:54:05,00:02:02:45,00:00:08:36,Teacher,English,Great so let's make sense of what it means by unit squares. Raise your hand if you can describe what unit squares might mean. [Student 2]?,,,a,,1,23.08,11.54,0,3.85,7.69,0,0,11.54,26.92,11.54,3.85,3.85,7.69,0,3.85,0,0,11.54,3.85
9,00:02:02:47,00:02:05:52,00:00:03:05,Student 2,English,Like the squares in the picture?,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,00:02:05:54,00:02:20:03,00:00:14:09,Teacher,English,"The squares in the picture, excellent. So, what are we estimating? If we're estimating the number of unit squares it would take to cover the circle, what are we estimating? [Student 3].",,,a,,1,18.75,9.38,0,9.38,0,0,0,9.38,15.63,0,0,3.13,12.5,0,3.13,0,0,9.38,0
11,00:02:20:05,00:02:20:49,00:00:00:44,Student 2,English,Area?,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,00:02:20:51,00:02:41:26,00:00:20:35,Teacher,English,"Area, right? And so you are going to figure out a strategy for deciding how big that circle is, how much space that circle takes up. Let's do two minutes silent, work on a strategy, and then I'll give you guys a chance to talk with a neighbor, ready? Two silent minutes, let's see what you guys come up with.",,,a,,1,15,10,1.67,3.33,5,0,0,5,10,8.33,3.33,0,1.67,0,0,6.67,0,10,5
13,00:02:48:51,00:02:50:50,00:00:01:59,Student 1,English,"Wait, Pi is 3 point what what what?",,,a,,1,37.5,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,12.5,0,12.5,0
14,00:02:50:52,00:02:56:17,00:00:05:25,Teacher,English,"Only two minutes, it's okay if you don't finish. You're just working out on a strategy that might help you out.",,,a,,1,23.81,14.29,0,0,14.29,0,0,9.52,9.52,0,0,0,9.52,0,4.76,9.52,0,14.29,4.76
15,00:03:00:20,00:03:01:05,00:00:00:45,Student 1,English,Alright.,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,00:03:02:13,00:03:13:08,00:00:10:55,Student 3,English,What's wrong with your water? What happened?,,,a,,1,42.86,14.29,0,0,14.29,0,0,28.57,0,0,0,0,0,0,0,0,14.29,14.29,0
17,00:03:13:10,00:03:14:26,00:00:01:16,Student 2,English,I don't know.,,,a,,1,33.33,33.33,33.33,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,33.33,0
18,00:03:17:12,00:03:18:46,00:00:01:34,Student 1,English,My strategy...,,,a,,1,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,00:03:31:51,00:03:33:24,00:00:01:33,Student 3,English,Alright. Um...,,,a,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,00:03:42:02,00:03:55:24,00:00:13:22,Teacher,English,"I'm actually going to change it up a little bit. I'd like you to talk to a partner and say ""I think first we could,"" and then see if you can together come up with a more efficient strategy. So, why don't you share with a shoulder partner what you think you should do, and then [unintelligible] to come with a better or more efficient way of doing it.",,,a,,1,17.39,13.04,4.35,1.45,7.25,0,0,4.35,17.39,2.9,2.9,7.25,2.9,1.45,2.9,4.35,0,4.35,2.9
21,00:03:55:26,00:03:58:14,00:00:02:48,Student 2,English,"We'll just share around, since there's three instead of four.",,,a,yes,1,10,10,0,10,0,0,0,0,20,0,10,0,0,0,10,10,0,10,10
22,00:03:59:07,00:04:00:05,00:00:00:54,Student 3,English,Who wants to share first?,,,a,yes,1,20,20,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,20
23,00:04:00:07,00:04:01:05,00:00:00:58,Student 2,English,"Okay, I'll go first.",,,a,yes,1,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
24,00:04:01:07,00:04:01:29,00:00:00:22,Student 3,English,Okay.,,,a,yes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,00:04:01:31,00:04:14:20,00:00:12:49,Student 2,English,"Let's see. My estimate is 34 square units. My strategy was I counted the amount of full squares in the circle, not counting like the outside ring that wasn't like whole squares, more like half squares.",,,a,yes,1,13.89,11.11,8.33,2.78,0,0,0,2.78,8.33,0,0,0,2.78,0,5.56,0,8.33,5.56,0
26,00:04:16:11,00:04:22:26,00:00:06:15,Student 1,English,"I think you... I got 24. So, I don't know how I got 24.",,,a,yes,1,35.71,35.71,28.57,0,7.14,0,0,0,21.43,21.43,7.14,0,0,0,0,0,0,7.14,0
