#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Segment,selectable
1,00:00:01:10,00:00:05:25,00:00:04:15,Teacher,English,"Wrap the sheet of paper you got, from [crosstalk]",,,a,
2,00:00:06:27,00:00:12:21,00:00:05:54,Student 2,English,Grab this and... Okay. Is the...,,,a,
3,00:00:12:23,00:00:12:43,00:00:00:20,Student 3,English,Are these different?,,,a,
4,00:00:12:45,00:00:17:39,00:00:04:54,Teacher,English,And can we write our name over where it says activity one.,,,a,
5,00:00:18:33,00:00:28:57,00:00:10:24,Student 2,English,"There, right there. Alright, after write the number of units squares, you'll take the cover [unintelligible]'s circle shown below. Include your own estimate...",,,a,
6,00:00:28:59,00:01:33:49,00:01:04:50,Teacher,English,"Thank you. So, your name is over where it says activity one, please. Raise your hand if you still not received one. There, great. So, read the instructions to yourselves, silently, for activity one. Activity one. So, you look for the side that says activity one. And give me a thumbs up once you've got that. [unintelligible], we're ready. [unintelligible]'s ready. [unintelligible], are you finished reading it? Activity one. [unintelligible] Okay, [Jackie], could you read it out loud for everybody, now that we've all had a chance to look at it ourselves?",,,a,
7,00:01:34:53,00:01:54:03,00:00:19:10,Student 1,English,"Estimate the number of unit squares it would take to cover [unintelligible]'s circle. Show the number. Record your own estimate and strategy. Then, find a person who got a different estimate, or used a different strategy, and report where [unintelligible].",,,a,
8,00:01:54:05,00:02:02:45,00:00:08:36,Teacher,English,Great so let's make sense of what it means by unit squares. Raise your hand if you can describe what unit squares might mean. [Student 2]?,,,a,
9,00:02:02:47,00:02:05:52,00:00:03:05,Student 2,English,Like the squares in the picture?,,,a,
10,00:02:05:54,00:02:20:03,00:00:14:09,Teacher,English,"The squares in the picture, excellent. So, what are we estimating? If we're estimating the number of unit squares it would take to cover the circle, what are we estimating? [Student 3].",,,a,
11,00:02:20:05,00:02:20:49,00:00:00:44,Student 2,English,Area?,,,a,
12,00:02:20:51,00:02:41:26,00:00:20:35,Teacher,English,"Area, right? And so you are going to figure out a strategy for deciding how big that circle is, how much space that circle takes up. Let's do two minutes silent, work on a strategy, and then I'll give you guys a chance to talk with a neighbor, ready? Two silent minutes, let's see what you guys come up with.",,,a,
13,00:02:48:51,00:02:50:50,00:00:01:59,Student 1,English,"Wait, Pi is 3 point what what what?",,,a,
14,00:02:50:52,00:02:56:17,00:00:05:25,Teacher,English,"Only two minutes, it's okay if you don't finish. You're just working out on a strategy that might help you out.",,,a,
15,00:03:00:20,00:03:01:05,00:00:00:45,Student 1,English,Alright.,,,a,
16,00:03:02:13,00:03:13:08,00:00:10:55,Student 3,English,What's wrong with your water? What happened?,,,a,
17,00:03:13:10,00:03:14:26,00:00:01:16,Student 2,English,I don't know.,,,a,
18,00:03:17:12,00:03:18:46,00:00:01:34,Student 1,English,My strategy...,,,a,
19,00:03:31:51,00:03:33:24,00:00:01:33,Student 3,English,Alright. Um...,,,a,
20,00:03:42:02,00:03:55:24,00:00:13:22,Teacher,English,"I'm actually going to change it up a little bit. I'd like you to talk to a partner and say ""I think first we could,"" and then see if you can together come up with a more efficient strategy. So, why don't you share with a shoulder partner what you think you should do, and then [unintelligible] to come with a better or more efficient way of doing it.",,,a,
21,00:03:55:26,00:03:58:14,00:00:02:48,Student 2,English,"We'll just share around, since there's three instead of four.",,,a,yes
22,00:03:59:07,00:04:00:05,00:00:00:54,Student 3,English,Who wants to share first? ,,,a,yes
23,00:04:00:07,00:04:01:05,00:00:00:58,Student 2,English,"Okay, I'll go first.",,,a,yes
24,00:04:01:07,00:04:01:29,00:00:00:22,Student 3,English,Okay.,,,a,yes
