#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Segment,Selectable
1,00:00:01:12,00:00:06:18,00:00:05:06,Teacher,English,"Okay, I'm going to call on groups have to share their answers in one minute.",,,a,
2,00:00:06:20,00:00:10:16,00:00:03:26,Teacher,English,Make sure that you and your group have your answers checked with each other.,,,a,
3,00:00:11:15,00:00:15:29,00:00:04:14,Teacher,English,"For questions two and three, make sure that you are in agreement.",,,a,
4,00:00:16:06,00:00:17:08,00:00:01:02,Student 1,English,Non-linear.,,,a,yes
5,00:00:17:27,00:00:19:17,00:00:01:20,Student 2,English,Non-linear?,,,a,yes
6,00:00:19:21,00:00:23:02,00:00:03:11,Student 1,English,Non-linear and...,,,a,yes
7,00:00:23:24,00:00:24:22,00:00:00:28,Student 2,English,Clustered.,,,a,yes
8,00:00:24:25,00:00:27:15,00:00:02:20,Student 1,English,"Clustered, and b.",,,a,yes
9,00:00:27:20,00:00:28:16,00:00:00:26,Student 2,Spanish,"Sí, eso.",,,a,yes
10,00:00:29:15,00:00:31:02,00:00:01:17,Student 1,English,"Non-linear, clustered.",,,a,yes
11,00:00:31:04,00:00:32:02,00:00:00:28,Student 2,English,What was your answers?,,,a,yes
12,00:00:34:02,00:00:35:03,00:00:01:01,Student 4,English,"Not yet, hold on.",,,a,yes
13,00:00:35:19,00:00:36:11,00:00:00:22,Student 2,English,All right.,,,a,yes
14,00:00:52:28,00:00:53:16,00:00:00:18,Student 1,English,Student 2.,,,a,yes
15,00:01:15:15,00:01:17:07,00:00:01:22,Student 1,Spanish,¿Cómo le pongo letras?,,,a,yes
16,00:01:27:23,00:01:28:14,00:00:00:21,Student 2,English,Text.,,,a,yes
17,00:01:28:16,00:01:30:21,00:00:02:05,Teacher,English,Did you guys answer the question with the equation?,,,a,
18,00:01:30:23,00:01:32:02,00:00:01:09,Teacher,English,Did you guys have an equation answer?,,,a,
19,00:01:32:19,00:01:33:03,00:00:00:14,Student 2,English,Yes.,,,a,
20,00:01:33:05,00:01:35:28,00:00:02:23,Teacher,English,"You did, can you guys share with Student 4 and Unknown Student?",,,a,
21,00:01:36:00,00:01:37:13,00:00:01:13,Teacher,English,Because it looks like they don't have an answer yet.,,,a,
22,00:01:39:10,00:01:40:05,00:00:00:25,Student 2,English,The...,,,a,
23,00:01:40:07,00:01:40:28,00:00:00:21,Teacher,English,"Okay, so, for...",,,a,
1,00:00:00:04,00:00:00:21,00:00:00:17,Teacher,English,Two right now.,,,b,
2,00:00:00:23,00:00:02:08,00:00:01:15,Teacher,English,Just screens one and two.,,,b,
3,00:01:11:24,00:01:13:11,00:00:01:17,Student 1,English,[unintelligible].,,,b,
4,00:01:27:24,00:01:28:11,00:00:00:17,Teacher,English,Okay.,,,b,
5,00:01:28:13,00:01:31:29,00:00:03:16,Teacher,English,"Blue devils, I'm going to do a quick reset of the class right now.",,,b,
6,00:01:32:02,00:01:36:05,00:00:04:03,Teacher,English,We have a lot of folks who are talking and off-task at the moment.,,,b,
7,00:01:37:25,00:01:46:10,00:00:08:15,Teacher,English,"So I'm actually going to ask right now for voice zone zero, because at the moment, I'm hearing a lot of folks who are still not logged in and people who are having just side conversations.",,,b,
8,00:01:46:12,00:01:48:00,00:00:01:18,Teacher,English,That's not what we're going to be doing today.,,,b,
9,00:01:49:01,00:01:53:16,00:00:04:15,Teacher,English,"You now have a minute and a half left to not only log in, but answer questions one and two.",,,b,
10,00:01:53:18,00:01:56:02,00:00:02:14,Teacher,English,So I'm going to ask for voice zone zero for the remainder of the time.,,,b,
11,00:01:56:04,00:01:56:20,00:00:00:16,Student 1,English,Any guess?,,,b,yes
12,00:02:03:16,00:02:08:11,00:00:04:25,Student 2,Spanish,Porque los animales más grandes tienen las mentes más grandes.,,,b,yes
13,00:02:09:18,00:02:10:08,00:00:00:20,Student 2,English,Brains.,,,b,yes
14,00:02:12:06,00:02:14:08,00:00:02:02,Student 2,Spanish,Sus cerebros más grandes.,,,b,yes
15,00:02:24:14,00:02:27:20,00:00:03:06,Student 2,English,Have three more [unintelligible].,,,b,yes
16,00:02:27:26,00:02:30:19,00:00:02:23,Student 2,English,Because bigger animals have bigger brains.,,,b,yes
17,00:02:31:02,00:02:32:01,00:00:00:29,Student 1,English,Are you just kidding?,,,b,yes
18,00:02:32:20,00:02:33:14,00:00:00:24,Student 2,English,Have...,,,b,yes
19,00:02:34:22,00:02:37:24,00:00:03:02,Teacher,English,"You're on the wrong one; it's the one called ""Animal Brains.""",,,b,
20,00:02:37:26,00:02:38:23,00:00:00:27,Teacher,English,It shouldn't be paws; you're on the wrong one.,,,b,
21,00:02:38:25,00:02:39:21,00:00:00:26,Student 2,English,Brains.,,,b,yes
22,00:02:42:16,00:02:44:23,00:00:02:07,Student 2,Spanish,Pero no parece muy complicado.,,,b,yes
23,00:02:48:09,00:02:49:16,00:00:01:07,Student 2,Spanish,"Pon el ""S.""",,,b,yes
24,00:02:50:03,00:02:51:05,00:00:01:02,Student 2,Spanish,"El ""S,"" el ""S.""",,,b,yes
25,00:02:51:13,00:02:52:01,00:00:00:18,Student 2,Spanish,"El ""S.""",,,b,yes
26,00:02:54:15,00:02:55:05,00:00:00:20,Student 1,English,Brains.,,,b,yes
27,00:02:55:09,00:02:56:13,00:00:01:04,Student 2,English,Bigger brains.,,,b,yes
