#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Transcript,selectable
1,00:00:00:20,00:00:02:17,00:00:01:27,Student A16,English,[crosstalk].,,,a,yes
2,00:00:03:08,00:00:06:23,00:00:03:15,Student A9,English,"Yeah, because it actually tells you if you're right instantly.",,,a,yes
3,00:00:07:28,00:00:09:29,00:00:02:01,Student A14,English,I think we have to add the price [unintelligible].,,,a,yes
4,00:00:10:01,00:00:13:01,00:00:03:00,Student A9,English,You got it entirely different; you got [unintelligible].,,,a,yes
5,00:00:13:04,00:00:15:29,00:00:02:25,Student A16,English,"'Cause if we did the exact same thing, you could just copy it off me.",,,a,yes
6,00:00:16:29,00:00:19:11,00:00:02:12,Student A16,English,But we both have the answers that we were looking for.,,,a,yes
7,00:00:20:03,00:00:21:07,00:00:01:04,Student A9,English,"Yeah, but it's better doing it.",,,a,yes
8,00:00:21:09,00:00:23:17,00:00:02:08,Student A16,English,"Yeah, because I did it by myself and I'm smart.",,,a,yes
9,00:00:23:28,00:00:25:23,00:00:01:25,Student A9,English,"No, we used calculators, dude.",,,a,yes
10,00:00:25:25,00:00:28:12,00:00:02:17,Student A16,English,You know how I figured out it was zero point zero seven?,,,a,yes
11,00:00:28:14,00:00:28:28,00:00:00:14,Student A9,English,How?,,,a,yes
12,00:00:29:00,00:00:32:03,00:00:03:03,Student A16,English,It's because one dollar is point zero zero seven.,,,a,yes
13,00:00:32:05,00:00:33:11,00:00:01:06,Student A16,English,Zero point zero seven.,,,a,yes
14,00:00:33:13,00:00:34:04,00:00:00:21,Student A9,English,"Nah, nah, nah, [crosstalk].",,,a,yes
15,00:00:34:06,00:00:39:22,00:00:05:16,Student A16,English,"So, it's two times point zero seven, so then I just kept doing it, and I got the right answer.",,,a,yes
16,00:00:40:00,00:00:40:28,00:00:00:28,Student A9,English,No.,,,a,yes
17,00:00:42:18,00:00:43:04,00:00:00:16,Student A16,English,I'm so smart.,,,a,yes
18,00:00:43:17,00:00:44:02,00:00:00:15,Student A9,English,No.,,,a,yes
19,00:00:44:27,00:00:47:08,00:00:02:11,Student A9,English,All you gotta do is keep on adding it because that's the original task.,,,a,yes
20,00:00:47:10,00:00:48:04,00:00:00:24,Student A16,English,[unintelligible].,,,a,yes
21,00:00:48:14,00:00:49:03,00:00:00:19,Student A9,English,Why?,,,a,yes
22,00:00:49:10,00:00:51:06,00:00:01:26,Student A16,English,[unintelligible] full screen [unintelligible].,,,a,yes
23,00:00:53:28,00:00:55:00,00:00:01:02,Student A9,English,That's exit full screen.,,,a,yes
24,00:00:56:00,00:00:56:17,00:00:00:17,Student A16,English,[unintelligible].,,,a,yes
25,00:00:57:29,00:01:00:15,00:00:02:14,Student A9,English,But this already is full screen.,,,a,yes
26,00:01:00:17,00:01:03:05,00:00:02:18,Student A16,English,"No, this is better full screen [unintelligible] escape.",,,a,yes
27,00:01:04:07,00:01:04:25,00:00:00:18,Teacher A,English,Yeah.,,,a,no
28,00:01:04:27,00:01:05:20,00:00:00:23,Student A9,English,Hell yeah.,,,a,yes
29,00:01:06:05,00:01:06:29,00:00:00:24,Student A9,English,We did it.,,,a,yes
30,00:01:08:13,00:01:10:06,00:00:01:23,Student A9,English,We did that; me and Student A16 did that.,,,a,yes
31,00:01:10:08,00:01:11:10,00:00:01:02,Student A16,English,We did it on our own.,,,a,yes
32,00:01:11:20,00:01:12:12,00:00:00:22,Student A9,English,Just the two of us.,,,a,yes
33,00:01:12:14,00:01:16:14,00:00:04:00,Teacher A,English,"Okay, good, but [Student A14] is behind, so what should you be doing?",,,a,no
34,00:01:16:16,00:01:18:05,00:00:01:19,Student A9,English,So you see how it's point zero seven for...?,,,a,yes
35,00:01:18:07,00:01:19:17,00:00:01:10,Student A16,English,"Wait, ask her if she needs help first.",,,a,yes
36,00:01:19:19,00:01:20:05,00:00:00:16,Student A9,English,Do you need help?,,,a,yes
37,00:01:21:04,00:01:21:16,00:00:00:12,Student A14,English,Sure.,,,a,yes
38,00:01:21:27,00:01:24:17,00:00:02:20,Student A9,English,So do you know the tax is point zero seven?,,,a,yes
39,00:01:24:19,00:01:25:17,00:00:00:28,Student A16,English,"Okay, so look at this.",,,a,yes
40,00:01:25:19,00:01:28:16,00:00:02:27,Student A9,English,Keep on adding it up until you get the tax number.,,,a,yes
41,00:01:29:09,00:01:30:23,00:00:01:14,Student A1,English,"Wait, where did my microphone?",,,a,yes
42,00:01:31:19,00:01:32:02,00:00:00:13,Student A9,English,ASMR.,,,a,yes
43,00:01:32:04,00:01:36:28,00:00:04:24,Student A16,English,"So you know that you've got point zero seven, so [unintelligible] seven.",,,a,yes
44,00:01:37:06,00:01:39:28,00:00:02:22,Student A16,English,Divide that by a hundred.,,,a,yes
45,00:01:40:16,00:01:46:21,00:00:06:05,Student A16,English,"[unintelligible] seven, and you get point zero seven, and then you just multiply, and that should be the that tax you add on.",,,a,yes
46,00:01:46:23,00:01:48:04,00:00:01:11,Student A9,English,"Yeah, [Student A16], look, I did it.",,,a,yes
47,00:01:49:07,00:01:56:09,00:00:07:02,Student A9,English,"Two times point zero seven: point fourteen, which is what I got.",,,a,yes
48,00:01:56:19,00:01:57:09,00:00:00:20,Student A9,English,And then one time three.,,,a,yes
49,00:01:57:11,00:01:59:13,00:00:02:02,Student A16,English,You don't even have to do it [unintelligible].,,,a,yes
50,00:01:59:15,00:02:00:05,00:00:00:18,Student A9,English,Yeah.,,,a,yes
51,00:02:00:07,00:02:00:24,00:00:00:17,Student A1,English,My calculator isn't working.,,,a,yes
52,00:02:00:26,00:02:02:03,00:00:01:07,Student A9,English,All you gotta do is just times it.,,,a,yes
53,00:02:03:02,00:02:04:07,00:00:01:05,Student A1,English,"No, this works.",,,a,yes
54,00:02:04:18,00:02:05:28,00:00:01:10,Student A1,English,"But the calculator I brought, that's my calculator.",,,a,yes
55,00:02:05:28,00:02:07:17,00:00:01:19,Student A9,English,Your microphone is hidden under your tie.,,,a,yes
56,00:02:07:24,00:02:08:19,00:00:00:25,Student A1,English,"Oh, it is?",,,a,yes
57,00:02:09:13,00:02:10:29,00:00:01:16,Student A9,English,"When did you make that tie, today?",,,a,yes
58,00:02:11:25,00:02:12:23,00:00:00:28,Student A1,English,I didn't make it.,,,a,yes
59,00:02:14:14,00:02:15:18,00:00:01:04,Student A1,English,It just fell off.,,,a,yes
60,00:02:16:05,00:02:18:02,00:00:01:27,Student A16,English,These microphones are so cool right now.,,,a,yes
61,00:02:18:23,00:02:19:29,00:00:01:06,Student A16,English,[unintelligible].,,,a,yes
62,00:02:20:12,00:02:22:29,00:00:02:17,Student A9,English,"[unintelligible], you're not locked in.",,,a,yes
63,00:02:24:28,00:02:28:15,00:00:03:17,Student A9,English,It's so annoying we have to wait forever.,,,a,yes
64,00:02:29:18,00:02:30:07,00:00:00:19,Student A9,English,Just the two of us.,,,a,yes
65,00:02:30:09,00:02:31:28,00:00:01:19,Student A16,English,We're good; I helped [Student A14].,,,a,yes
66,00:02:32:00,00:02:33:04,00:00:01:04,Teacher A,English,"Yeah, did that help?",,,a,no
67,00:02:33:06,00:02:37:03,00:00:03:27,Student A9,English,"You just gotta multiply by point zero seven, the tax rate, and then the price of it, you just multiply by that, point zero seven.",,,a,yes
68,00:02:37:05,00:02:41:14,00:00:04:09,Student A16,English,"I noticed that if you figure it out on your own, you're like...",,,a,yes
69,00:02:41:21,00:02:43:06,00:00:01:15,Student A9,English,You get a better understanding.,,,a,yes
70,00:02:43:08,00:02:45:06,00:00:01:28,Student A16,English,You understand it more than if someone helps you.,,,a,yes
71,00:02:45:08,00:02:47:01,00:00:01:23,Student A9,English,"Yeah, I understand it now.",,,a,yes
72,00:02:48:13,00:02:51:04,00:00:02:21,Student A1,English,I'm gonna put it here; I think that's gonna be better.,,,a,yes
73,00:02:52:05,00:02:53:13,00:00:01:08,Student A1,English,I like this better.,,,a,yes
74,00:02:54:00,00:02:54:19,00:00:00:19,Student A1,English,There we go.,,,a,yes
75,00:02:54:21,00:02:57:06,00:00:02:15,Student A9,English,All you gotta really do is just find the tax?,,,a,yes
76,00:02:57:15,00:03:01:15,00:00:03:28,Teacher A,English,"Okay, what's the multiplier for the grand total, not just the tax?",,,a,no
77,00:03:03:04,00:03:05:00,00:00:01:26,Student A14,English,"You just, like, add the [unintelligible] from the tax.",,,a,yes
78,00:03:05:02,00:03:05:17,00:00:00:15,Teacher A,English,You can.,,,a,no
79,00:03:05:19,00:03:07:12,00:00:01:23,Teacher A,English,"Yeah, actually; that works totally fine.",,,a,no
80,00:03:07:23,00:03:08:17,00:00:00:24,Student A9,English,Do you know how to do it?,,,a,yes
81,00:03:09:22,00:03:10:26,00:00:01:04,Student A9,English,Do you understand it now?,,,a,yes
82,00:03:11:01,00:03:12:25,00:00:01:24,Student A9,English,"Point zero seven, times the price.",,,a,yes
83,00:03:12:27,00:03:13:22,00:00:00:25,Student A9,English,Just the price.,,,a,yes
84,00:03:15:00,00:03:16:05,00:00:01:05,Student A9,English,It's really simple when you understand it.,,,a,yes
85,00:03:18:10,00:03:21:05,00:00:02:25,Student A9,English,"I mean, you kind of get a good understanding when you do it with someone.",,,a,yes
86,00:03:21:07,00:03:22:27,00:00:01:20,Student A1,English,I swear this calculator doesn't have an on button.,,,a,yes
87,00:03:22:29,00:03:25:25,00:00:02:26,Student A9,English,But you get a way better understanding when you do it yourself.,,,a,yes
88,00:03:25:27,00:03:27:09,00:00:01:12,Student A9,English,You understand it more yourself.,,,a,yes
89,00:03:27:11,00:03:30:12,00:00:03:01,Student A16,English,[unintelligible] a bunch of [unintelligible] people can learn about how [unintelligible].,,,a,yes
90,00:03:30:14,00:03:35:04,00:00:04:20,Teacher A,English,"Now we're to actually pause, you guys 'cause we're gonna be talking about this real quick.",,,a,no
91,00:03:36:16,00:03:38:27,00:00:02:11,All students,English,[crosstalk].,,,a,yes
92,00:03:39:22,00:03:43:00,00:00:03:08,Teacher A,English,"...any calculators in your hands, so calculators down.",,,a,no
93,00:03:45:26,00:03:47:11,00:00:01:15,Student A1,English,How do you turn it off?,,,a,yes
94,00:03:48:07,00:03:49:02,00:00:00:25,Student A9,English,Put them in the middle.,,,a,yes
95,00:03:49:19,00:03:50:15,00:00:00:26,Student A9,English,Okay.,,,a,yes
96,00:03:51:07,00:03:52:00,00:00:00:23,Student A16,English,Excuse me.,,,a,yes
97,00:03:52:02,00:03:53:21,00:00:01:19,Teacher A,English,"Turn your bodies, please.",,,a,no
98,00:03:53:23,00:03:55:21,00:00:01:28,Teacher A,English,No more touching the computers.,,,a,no
99,00:03:56:00,00:04:01:02,00:00:05:00,Teacher A,English,"Thank you, thank you.",,,a,no
100,00:04:01:29,00:04:08:11,00:00:06:12,Teacher A,English,"Okay, read the instructions for it, please, [unintelligible], nice and loud [unintelligible].",,,a,no
101,00:04:11:16,00:04:12:06,00:00:00:20,Student A1,English,That's cool.,,,a,yes
102,00:04:19:21,00:04:23:26,00:00:04:05,Teacher A,English,"Excellent, so what does that C mean under cost?",,,a,no
103,00:04:24:29,00:04:25:21,00:00:00:22,Teacher A,English,[unintelligible]?,,,a,no
104,00:04:25:23,00:04:27:20,00:00:01:27,Student 1,English,The item's cost.,,,a,yes
105,00:04:28:11,00:04:31:20,00:00:03:09,Teacher A,English,"Okay, great, but do you know a specific number for it?",,,a,no
106,00:04:31:22,00:04:32:24,00:00:01:02,Student A16,English,I know!,,,a,yes
107,00:04:32:26,00:04:33:19,00:00:00:23,Teacher A,English,[Student A16]?,,,a,no
108,00:04:33:21,00:04:34:17,00:00:00:26,Student A16,English,So what we're gonna do...,,,a,yes
109,00:04:34:19,00:04:37:10,00:00:02:21,Teacher A,English,"Wait, I just wanna know what the C means.",,,a,no
110,00:04:37:12,00:04:39:29,00:00:02:17,Student A16,English,C is the cost before tax.,,,a,yes
111,00:04:40:01,00:04:42:08,00:00:02:07,Teacher A,English,"Okay, so C is the cost before tax.",,,a,no
112,00:04:42:18,00:04:46:28,00:00:04:10,Teacher A,English,"What would go in the next column is the tax, and then what would go in the final column is [crosstalk].",,,a,no
113,00:04:47:00,00:04:52:27,00:00:05:27,Teacher A,English,So what I want you guys to discuss is how you would fill in those two empty spaces.,,,a,no
114,00:04:53:17,00:04:54:15,00:00:00:28,Teacher A,English,"So, I'm [crosstalk].",,,a,no
115,00:04:54:17,00:04:57:02,00:00:02:15,Student A9,English,I'm gonna move my mic right here.,,,a,yes
116,00:04:57:08,00:05:03:25,00:00:06:15,Teacher A,English,"And I wanna hear you and your team talking about, ""I think 'blank' should go under tax because""... [unintelligible].",,,a,no
117,00:05:03:27,00:05:04:28,00:00:01:01,Student A1,English,Put it on your hat.,,,a,yes
118,00:05:05:23,00:05:07:06,00:00:01:13,Student A9,English,"Wait, what if I put it on my hat?",,,a,yes
119,00:05:09:26,00:05:11:00,00:00:01:04,Student A9,English,That's not gonna work.,,,a,yes
120,00:05:12:27,00:05:14:09,00:00:01:12,Student A9,English,Let me just clip it on.,,,a,yes
121,00:05:21:13,00:05:23:07,00:00:01:24,Student A9,English,"I think under tax should go zero point zero seven, because that's the tax rate.",,,a,yes
122,00:05:23:09,00:05:27:04,00:00:03:25,Teacher A,English,I will not see any typing at all until I say you can type.,,,a,no
123,00:05:27:06,00:05:27:27,00:00:00:21,Student A9,English,Right?,,,a,yes
124,00:05:28:22,00:05:30:05,00:00:01:13,Student A9,English,Or would it go under tax?,,,a,yes
125,00:05:31:15,00:05:32:06,00:00:00:21,Student A9,English,"Seven... Yeah, it'd be...",,,a,yes
126,00:05:32:09,00:05:34:27,00:00:02:18,Student A16,English,[unintelligible].,,,a,yes
127,00:05:36:03,00:05:36:19,00:00:00:16,Student A9,English,So...,,,a,yes
128,00:05:36:21,00:05:40:04,00:00:03:13,Student A16,English,"Zero point zero seven times cost equals total, so...",,,a,yes
129,00:05:40:21,00:05:46:19,00:00:05:28,Student A16,English,T equals C times point zero seven.,,,a,yes
130,00:05:48:02,00:05:50:15,00:00:02:13,Student A9,English,"It's... [Student A16], we've done his before.",,,a,yes
131,00:05:51:24,00:05:53:06,00:00:01:12,Student A9,English,I understand it now.,,,a,yes
132,00:05:53:16,00:05:54:00,00:00:00:14,Student A1,English,I don't.,,,a,yes
133,00:05:55:13,00:05:55:28,00:00:00:15,Student A9,English,Alright.,,,a,yes
134,00:05:57:00,00:05:57:26,00:00:00:26,Student A9,English,"Hey, you're not supposed to [crosstalk].",,,a,yes
135,00:05:57:28,00:06:04:12,00:00:06:12,Student A1,English,"Wait, so it's C, and then like an equation or something, and then the total is also some kind of equation.",,,a,yes
136,00:06:04:18,00:06:06:18,00:00:02:00,Student A9,English,"Alright, I got the answer, guys: one point one, one, one.",,,a,yes
137,00:06:06:20,00:06:08:21,00:00:02:01,Student A14,English,"We're not supposed to type it in yet, [Student A9].",,,a,yes
138,00:06:08:23,00:06:11:24,00:00:03:01,Student A9,English,"But I did one point one, one, one, one.",,,a,yes
139,00:06:11:26,00:06:14:21,00:00:02:25,Student A16,English,[unintelligible].,,,a,yes
140,00:06:18:08,00:06:20:08,00:00:02:00,Student A16,English,[unintelligible] a little bit.,,,a,yes
141,00:06:25:04,00:06:26:03,00:00:00:29,Student A1,English,What are you doing?,,,a,yes
142,00:06:26:05,00:06:27:00,00:00:00:25,Student A16,English,I'm still typing [unintelligible].,,,a,yes
143,00:06:31:12,00:06:33:03,00:00:01:21,Student A16,English,I'm literally typing right now.,,,a,yes
144,00:06:34:20,00:06:36:17,00:00:01:27,Student A9,English,"I know, it looks like it's not moving.",,,a,yes
145,00:06:37:14,00:06:38:05,00:00:00:21,Student A16,English,Watch this.,,,a,yes
146,00:06:42:25,00:06:44:04,00:00:01:09,Student A16,English,It's not moving.,,,a,yes
147,00:06:44:09,00:06:46:06,00:00:01:27,Student A16,English,"It looks like it's not moving, but I'm still typing, you guys.",,,a,yes
148,00:06:49:15,00:06:50:27,00:00:01:13,Student A1,English,"Alright, that's goofy.",,,a,yes
149,00:06:51:11,00:06:55:20,00:00:04:09,Student A16,English,[unintelligible].,,,a,yes
150,00:06:55:23,00:06:57:08,00:00:01:15,Student A1,English,Why is there a green marker here?,,,a,yes
151,00:06:58:01,00:07:01:08,00:00:03:05,Student A16,English,"Three, two, one.",,,a,yes
152,00:07:01:10,00:07:02:04,00:00:00:24,Student A9,English,One.,,,a,yes
153,00:07:02:26,00:07:03:14,00:00:00:18,Teacher A,English,What do you think?,,,a,no
154,00:07:03:25,00:07:04:06,00:00:00:11,Student A9,English,We said...,,,a,yes
155,00:07:04:08,00:07:05:02,00:00:00:24,Student A16,English,"No, I said...",,,a,yes
156,00:07:06:14,00:07:08:24,00:00:02:10,Student A16,English,T equals zero point zero seven.,,,a,yes
