#,In cue,Out cue,Duration,Speaker,Dialogue,Annotations,Error Type,Segment,Selectable
1,00:00:00:26,00:01:06:11,1:05:15,Student 4,So is that the first thing that all the middle school students say when I right? Yeah. And then and then all the high school students say yep.,,,a,yes
2,0:11:06,0:18:03,0:06:27,Student 1,"I got excited because the questions like put up on the board were what I've been, that's been my like situation scenario whatever, the whole day.",,,a,yes
3,0:18:21,0:19:01,0:00:10,Student 3,"Oh, nice.",,,a,yes
4,0:19:01,0:22:21,0:03:20,Student 1,"So I was like, finally, someone's saying the question I've been asking.",,,a,yes
5,0:22:21,0:23:09,0:00:18,Student 3,Yay.,,,a,yes
6,0:24:29,0:26:07,0:01:08,Teacher,Do you all say your name into your Not yet.,,,a,
7,0:26:07,0:26:15,0:00:08,Student 1,Not yet.,,,a,yes
8,0:27:27,0:29:10,0:01:13,Student 1,Do we need to turn on anything or no?,,,a,yes
9,0:31:00,0:31:18,0:00:18,Teacher,We're on.,,,a,
10,0:32:21,0:34:21,0:02:00,Student 2,Ashley Shinda Donitis.,,,a,yes
11,0:35:10,0:35:28,0:00:18,Student 4,Michael Barrett.,,,a,yes
12,0:36:26,0:37:25,0:01:00,Student 3,Tracey Shipman.,,,a,yes
13,0:40:15,0:41:22,0:01:07,Student 4,There's so many Michaels. You got to,,,a,yes
14,0:42:15,0:43:24,0:01:09,Student 2,Ashley Burch.,,,a,yes
15,0:45:10,0:46:13,0:01:03,Student 4,I just went with the first one.,,,a,yes
16,0:46:25,0:47:11,0:00:16,Student 1,I appreciate it.,,,a,yes
17,0:48:15,0:50:23,0:02:08,Student 1,I'm I'm so curious what math we're going to do.,,,a,yes
18,0:52:13,0:55:28,0:03:15,Student 1,It's always fun trying to find like the happy medium that everyone feels like they can,,,a,yes
19,0:56:06,1:05:27,0:09:21,Student 3,"I know, because sometimes when you're so like, um Okay. Yeah, in lower grades like elementary school, it's hard to identify. I'm like, well I guess how do you teach the",,,a,yes
20,1:06:21,1:07:05,0:00:14,Student 1,What do you teach?,,,a,yes
21,1:07:22,1:18:14,0:10:22,Student 3,"I teach fifth grade math. Okay. Well, fifth grade, like all multiple subjects, but yeah, I don't know how I forgot everything that I learned like calculus. I don't know what that is anymore.",,,a,yes
22,1:19:15,1:27:26,0:08:11,Student 2,"I teach high school math and I still if a kid came with an AP Calc tutoring question, I'd be like, well let me like look through that real quick. Let me reteach myself for a second.",,,a,yes
23,1:29:07,1:36:23,0:07:16,Teacher,"All right, here's the, here's the task. This task comes from Illustrative Mathematics grade seven. Some of you were looking with recognition at the finger diagram.",,,a,
24,1:37:02,1:37:21,0:00:19,Teacher,"Um, but yeah.",,,a,
25,1:38:09,1:59:29,0:21:20,Teacher,"So, all, for those of you who are not familiar though, in these two diagrams, all triangles weigh the same as each other, all squares weigh the same as each other. Um so you want to come up at your tables with one thing that must be true, one thing that could be true, and one thing that can't possibly be true about each of these diagrams. And they're up here and I'm going to pass out a paper for you as well.",,,a,
26,2:03:22,2:03:27,0:00:05,Student 4,Okay.,,,a,yes
27,2:07:11,2:08:26,0:01:15,Student 3,Gravity works different.,,,a,yes
28,2:10:20,2:15:02,0:04:12,Student 4,"Must be true, could be true, cannot possibly be true.",,,a,yes
