#,In cue,Out cue,Duration,Speaker,Dialogue,Annotations,Error Type,Segment,Selectable
1,00:00:00:05,00:00:01:13,00:00:01:08,Student 3,we're going to do a little ASMR.,,,a,yes
2,00:00:02:11,00:00:04:26,00:00:02:15,Student 4,That's the first thing that all the middle school students say when they,,,a,yes
3,00:00:04:26,00:00:05:10,00:00:00:14,Student 3,Right.,,,a,yes
4,00:00:06:04,00:00:07:07,00:00:01:03,Student 3,Like...,,,a,yes
5,00:00:08:04,00:00:10:04,00:00:02:00,Student 1,And then and then all the microphones are just tic tic tic tic tic tic tic.,,,a,yes
6,00:00:11:21,00:00:16:11,00:00:04:20,Teacher,"Yeah, you can just put it face down right where it was. Um, and then if you can say your names into your mic.",,,a,
7,00:00:16:21,00:00:18:03,00:00:01:12,Student 1,My name is Carrie Mollica.,,,a,yes
8,00:00:18:18,00:00:19:15,00:00:00:27,Student 2,My name is Rachel Beverly.,,,a,yes
9,00:00:19:22,00:00:21:04,00:00:01:12,Student 3,My name is Gwen Faulkner.,,,a,yes
10,00:00:22:12,00:00:23:28,00:00:01:16,Student 3,Do we have to say that every time we speak?,,,a,yes
11,00:00:24:03,00:00:25:07,00:00:01:04,Student 1,"I don't know, just right now.",,,a,yes
12,00:00:25:07,00:00:36:26,00:00:11:19,Student 2,"I think it's because it should recognize your vocal patterns cuz I know like when I did the research study that threw all them, like it could pick up on each individual student cuz it recognized that that voice was that student even though it didn't listen to it.",,,a,yes
13,00:00:36:26,00:00:38:22,00:00:01:26,Student 3,"We don't have to say our name each time we speak, do we?",,,a,yes
14,00:00:38:25,00:00:39:27,00:00:01:02,Teacher,"No, just the just the first time.",,,a,
15,00:00:39:27,00:00:40:07,00:00:00:10,Student 3,Okay.,,,a,yes
16,00:00:40:15,00:00:43:29,00:00:03:14,Student 3,Cuz I would be doing that embarrassing thing of Gwen Faulkner.,,,a,yes
17,00:00:41:20,00:00:42:21,00:00:01:01,Student 4,You'd wrap them in.,,,a,yes
18,00:00:44:17,00:00:48:26,00:00:04:09,Student 1,This is... I think also like it'll say like it came from this microphone so it's that person. Yeah.,,,a,yes
19,00:00:50:04,00:00:52:00,00:00:01:26,Student 3,Does anyone know how to say something in a different language?,,,a,yes
20,00:00:53:11,00:00:56:29,00:00:03:18,Student 1,"Um, you can say thank you in Arabic is shukran.",,,a,yes
21,00:00:57:08,00:00:57:24,00:00:00:16,Student 3,Shukran.,,,a,yes
22,00:00:58:05,00:00:58:21,00:00:00:16,Student 1,Shukran.,,,a,yes
23,00:00:59:03,00:00:59:16,00:00:00:13,Teacher,Okay.,,,a,
24,01:00:09,01:01:17,00:00:01:08,Student 1,And you're welcome is afwan.,,,a,yes
25,01:02:18,01:03:02,00:00:00:14,Student 3,Why do you know that?,,,a,yes
26,01:03:22,01:05:17,00:00:01:25,Student 1,I teach at a school for immigrants and refugees.,,,a,yes
27,01:05:17,01:05:27,00:00:00:10,Student 3,Nice.,,,a,yes
28,01:06:21,01:07:08,00:00:00:17,Teacher,Nice.,,,a,
29,01:07:18,01:11:29,00:00:04:11,Student 1,"So I know, I'm not fluent in many languages, but I know bits and pieces of lots of different things.",,,a,yes
30,01:12:08,01:21:23,00:00:09:15,Student 3,"My nephew has been asking a lot of questions about just he loves different countries and he'll even be like, ""what is the second most popular country?"" So I know like the second, third, and fourth of a lot of things.",,,a,yes
31,01:22:15,01:28:22,00:00:06:07,Student 3,"Anyways, we were talking about Dubai and so we were looking at the different languages that are spoken there and then he wanted to know how to say hi.",,,a,yes
32,01:28:24,01:29:21,00:00:00:27,Teacher,Here's the here's the task.,,,a,
33,01:29:21,01:30:11,00:00:00:20,Student 3,In Arabic?,,,a,yes
34,01:30:18,01:34:04,00:00:03:16,Teacher,This task comes from Illustrative Mathematics grade seven. So you were looking at recognition of...,,,a,
35,01:34:10,01:35:10,00:00:01:00,Student 3,Hindi. That's Hindi.,,,a,yes
36,01:35:10,01:36:20,00:00:01:10,Student 1,We were talking about India.,,,a,yes
37,01:36:21,01:38:15,00:00:01:24,Student 3,Okay. So they...,,,a,yes
38,01:38:15,01:38:22,00:00:00:07,Teacher,In these two...,,,a,
39,01:39:13,01:41:09,00:00:01:26,Student 4,You also talk about Dubai another time.,,,a,yes
40,01:41:15,01:46:25,00:00:05:10,Teacher,"In these two diagrams, all triangles weigh the same as each other. All squares weigh the same as each other.",,,a,
41,01:46:25,01:47:19,00:00:00:24,Student 3,She just recorded.,,,a,yes
42,01:48:10,01:59:22,00:00:11:12,Teacher,"So you want to come up at your tables with one thing that must be true, one thing that could be true, and one thing that can't possibly be true about each of these diagrams. And they're up here and I'm going to pass out paper for you as well.",,,a,
43,02:00:13,02:01:28,00:00:01:15,Student 3,"I was like, this is Illustrative math.",,,a,yes
44,02:02:13,02:03:07,00:00:00:24,Student 1,Yeah. That's a...,,,a,yes
45,02:03:13,02:05:07,00:00:01:24,Student 3,Have you ever done the Math Mobiles?,,,a,yes
46,02:06:17,02:07:11,00:00:00:24,Student 3,Huh? Math Mobiles?,,,a,yes
47,02:07:22,02:10:28,00:00:03:06,Student 1,"Yeah, there's like a website where you can have them. I have my kids do it to practice.",,,a,yes
48,02:08:29,02:09:12,00:00:00:13,Student 3,"Yeah, there's a thing.",,,a,yes
49,02:11:03,02:12:12,00:00:01:09,Student 3,And they can like make their own. Yeah.,,,a,yes
50,02:12:15,02:13:00,00:00:00:15,Student 1,Mmm.,,,a,yes
51,02:14:04,02:15:21,00:00:01:17,Student 3,Yeah. I love having my kids do that to practice.,,,a,yes
52,02:15:21,02:22:15,00:00:06:24,Student 1,I can't believe I just said a lot of Namaste and then it's India. I know this.,,,a,yes
53,02:22:15,02:22:29,00:00:00:14,Student 3,Yes.,,,a,yes
54,02:25:06,02:27:21,00:00:02:15,Student 3,I'm gonna turn it off and back on and then we're going to start over.,,,a,yes
55,02:28:10,02:29:26,00:00:01:16,Student 1,My name is Al.,,,a,yes
56,02:30:17,02:32:00,00:00:01:13,Student 4,No.,,,a,yes
57,02:33:10,02:34:23,00:00:01:13,Student 4,What's one thing that must be true?,,,a,yes
58,02:35:16,02:38:29,00:00:03:13,Student 1,The triangle must weigh more than the square.,,,a,yes
59,02:40:05,02:41:22,00:00:01:17,Student 4,Did are the...,,,a,yes
60,02:41:22,02:42:07,00:00:00:15,Student 1,"than one square, right?",,,a,yes
61,02:42:07,02:44:17,00:00:02:10,Student 4,Then we have one triangle must weigh more than one square.,,,a,yes
62,02:44:27,02:52:03,00:00:07:06,Student 4,Only if the point from the triangle to the what we are going to assume is the midpoint is equidistant to the midpoint to the...,,,a,yes
63,02:52:13,02:53:02,00:00:00:19,Student 3,Yeah.,,,a,yes
